Location_ID,County,City,State,Postal Code,Vehicle Location,Longitude,Latitude
L000001,Las Animas,Trinidad,CO,81082,POINT (-104.5164515 37.1682585),-104.5164515,37.1682585
L000002,El Paso,Colorado Springs,CO,80925,POINT (-104.6433786 38.7419669),-104.6433786,38.7419669
L000003,El Paso,Colorado Springs,CO,80908,POINT (-104.7143451 39.0313655),-104.7143451,39.0313655
L000004,El Paso,Colorado Springs,CO,80923,POINT (-104.7171991 38.9258926),-104.7171991,38.9258926
L000005,Adams,Aurora,CO,80019,POINT (-104.733756 39.7731412),-104.733756,39.7731412
L000006,Douglas,Parker,CO,80134,POINT (-104.7746063 39.5154005),-104.7746063,39.5154005
L000007,Laramie,Cheyenne,WY,82001,POINT (-104.7952484 41.1442461),-104.7952484,41.1442461
L000008,El Paso,Colorado Springs,CO,80907,POINT (-104.8244821 38.8777728),-104.8244821,38.8777728
L000009,El Paso,Colorado Springs,CO,80921,POINT (-104.8314684 39.0364661),-104.8314684,39.0364661
L000010,El Paso,Colorado Springs,CO,80919,POINT (-104.8519382 38.9235861),-104.8519382,38.9235861
L000011,Douglas,Castle Rock,CO,80104,POINT (-104.855075 39.373455),-104.855075,39.373455
L000012,Arapahoe,Englewood,CO,80111,POINT (-104.8750737 39.6055754),-104.8750737,39.6055754
L000013,Larimer,Timnath,CO,80547,POINT (-104.9659564 40.5166002),-104.9659564,40.5166002
L000014,Boulder,Longmont,CO,80501,POINT (-105.10686 40.16174),-105.10686,40.16174
L000015,Otero,Holloman Air Force Base,NM,88330,POINT (-106.0794796 32.8350456),-106.0794796,32.8350456
L000016,El Paso,El Paso,TX,79927,POINT (-106.27334 31.650735),-106.27334,31.650735
L000017,El Paso,El Paso,TX,79911,POINT (-106.5687955 31.8947073),-106.5687955,31.8947073
L000018,Sheridan,Sheridan,WY,82801,POINT (-106.9536599 44.7936462),-106.9536599,44.7936462
L000019,Cochise,Fort Huachuca,AZ,85613,POINT (-110.3485647 31.5566886),-110.3485647,31.5566886
L000020,Pinal,Tucson,AZ,85739,POINT (-110.9016211 32.507734),-110.9016211,32.507734
L000021,Pima,Tucson,AZ,85718,POINT (-110.9156341 32.3050619),-110.9156341,32.3050619
L000022,Pinal,Apache Junction,AZ,85119,POINT (-111.539855 33.40916),-111.539855,33.40916
L000023,Maricopa,Chandler,AZ,85249,POINT (-111.796174 33.222636),-111.796174,33.222636
L000024,Salt Lake,Salt Lake City,UT,84121,POINT (-111.820697 40.6257225),-111.820697,40.6257225
L000025,Maricopa,Chandler,AZ,85248,POINT (-111.8614234 33.2369776),-111.8614234,33.2369776
L000026,Salt Lake,Salt Lake City,UT,84115,POINT (-111.88824 40.729685),-111.88824,40.729685
L000027,Maricopa,Scottsdale,AZ,85250,POINT (-111.9159524 33.5173207),-111.9159524,33.5173207
L000028,Maricopa,Tempe,AZ,85281,POINT (-111.9455244 33.42316),-111.9455244,33.42316
L000029,Maricopa,Phoenix,AZ,85028,POINT (-112.008736 33.583784),-112.008736,33.583784
L000030,Maricopa,Phoenix,AZ,85040,POINT (-112.0265249 33.4051142),-112.0265249,33.4051142
