Location_ID,County,City,State,Postal Code,Longitude,Latitude
L000001,Las Animas,Trinidad,CO,81082,-104.516452,37.168259
L000002,El Paso,Colorado Springs,CO,80925,-104.643379,38.741967
L000003,El Paso,Colorado Springs,CO,80908,-104.714345,39.031366
L000004,El Paso,Colorado Springs,CO,80923,-104.717199,38.925893
L000005,Adams,Aurora,CO,80019,-104.733756,39.773141
L000006,Douglas,Parker,CO,80134,-104.774606,39.515401
L000007,Laramie,Cheyenne,WY,82001,-104.795248,41.144246
L000008,El Paso,Colorado Springs,CO,80907,-104.824482,38.877773
L000009,El Paso,Colorado Springs,CO,80921,-104.831468,39.036466
L000010,El Paso,Colorado Springs,CO,80919,-104.851938,38.923586
L000011,Douglas,Castle Rock,CO,80104,-104.855075,39.373455
L000012,Arapahoe,Englewood,CO,80111,-104.875074,39.605575
L000013,Larimer,Timnath,CO,80547,-104.965956,40.516600
L000014,Boulder,Longmont,CO,80501,-105.106860,40.161740
L000015,Otero,Holloman Air Force Base,NM,88330,-106.079480,32.835046
L000016,El Paso,El Paso,TX,79927,-106.273340,31.650735
L000017,El Paso,El Paso,TX,79911,-106.568796,31.894707
L000018,Sheridan,Sheridan,WY,82801,-106.953660,44.793646
L000019,Cochise,Fort Huachuca,AZ,85613,-110.348565,31.556689
L000020,Pinal,Tucson,AZ,85739,-110.901621,32.507734
L000021,Pima,Tucson,AZ,85718,-110.915634,32.305062
L000022,Pinal,Apache Junction,AZ,85119,-111.539855,33.409160
L000023,Maricopa,Chandler,AZ,85249,-111.796174,33.222636
L000024,Salt Lake,Salt Lake City,UT,84121,-111.820697,40.625723
L000025,Maricopa,Chandler,AZ,85248,-111.861423,33.236978
L000026,Salt Lake,Salt Lake City,UT,84115,-111.888240,40.729685
L000027,Maricopa,Scottsdale,AZ,85250,-111.915952,33.517321
L000028,Maricopa,Tempe,AZ,85281,-111.945524,33.423160
L000029,Maricopa,Phoenix,AZ,85028,-112.008736,33.583784
L000030,Maricopa,Phoenix,AZ,85040,-112.026525,33.405114
L000031,Maricopa,Phoenix,AZ,85086,-112.103752,33.832112
L000032,Tooele,Tooele,UT,84074,-112.284850,40.529185
L000033,Clark,Laughlin,NV,89029,-114.619739,35.139118
L000034,Clark,Las Vegas,NV,89118,-115.192525,36.088140
L000035,Clark,Las Vegas,NV,89131,-115.239044,36.295982
L000036,Clark,Las Vegas,NV,89145,-115.272539,36.170588
L000037,Clark,Las Vegas,NV,89129,-115.324085,36.227630
L000038,Clark,Las Vegas,NV,89135,-115.326093,36.131935
L000039,Clark,Las Vegas,NV,89166,-115.329506,36.298305
L000040,Clark,Las Vegas,NV,89138,-115.357481,36.172952
L000041,Ada,Boise,ID,83706,-116.197355,43.591620
L000042,Ada,Boise,ID,83702,-116.207032,43.628828
L000043,Riverside,Indio,CA,92201,-116.218180,33.719270
L000044,Riverside,Cathedral City,CA,92234,-116.464199,33.807798
L000045,San Bernardino,Fort Irwin,CA,92310,-116.698447,35.261884
L000046,Kootenai,Worley,ID,83876,-116.882603,47.466340
L000047,Kootenai,Post Falls,ID,83854,-116.942745,47.727253
L000048,San Diego,Chula Vista,CA,91915,-116.957873,32.631669
L000049,San Diego,Chula Vista,CA,91913,-116.985486,32.631293
L000050,San Diego,San Diego,CA,92154,-117.033790,32.566884
L000051,San Diego,La Mesa,CA,91942,-117.033970,32.765925
L000052,San Diego,San Diego,CA,92114,-117.056643,32.708906
L000053,Asotin,Asotin,WA,99402,-117.059519,46.265398
L000054,Spokane,Newman Lake,WA,99025,-117.075672,47.736783
L000055,Whitman,Tekoa,WA,99033,-117.077437,47.227156
L000056,Whitman,Palouse,WA,99161,-117.078955,46.910933
L000057,Asotin,Clarkston,WA,99403,-117.080940,46.396152
L000058,San Diego,San Diego,CA,92131,-117.083459,32.914886
L000059,Whitman,Uniontown,WA,99179,-117.088841,46.536823
L000060,San Diego,San Diego,CA,92124,-117.096935,32.824435
L000061,Spokane,Liberty Lake,WA,99019,-117.098830,47.667994
L000062,San Diego,San Diego,CA,92136,-117.121336,32.680668
L000063,San Diego,San Diego,CA,92126,-117.125497,32.923461
L000064,Whitman,Uniontown,WA,99113,-117.128474,46.568831
L000065,Spokane,Spokane Valley,WA,99027,-117.128686,47.700409
L000066,San Diego,San Diego,CA,92102,-117.139715,32.711600
L000067,Spokane,Rockford,WA,99030,-117.140334,47.478429
L000068,Whitman,Garfield,WA,99130,-117.149722,47.004243
L000069,Spokane,Latah,WA,99018,-117.158389,47.280614
L000070,Spokane,Spokane Valley,WA,99016,-117.159889,47.656894
L000071,San Diego,San Diego,CA,92101,-117.160635,32.717795
L000072,Riverside,Menifee,CA,92585,-117.162774,33.725296
L000073,San Diego,San Diego,CA,92103,-117.163040,32.746955
L000074,Pend Oreille,Newport,WA,99156,-117.164316,48.150501
